Surname,Name,Middle_name,Type,"Количество доставок"
Кондратьев,Аполлинарий,Вилорович,АИ-100,398
Кондратьев,Аполлинарий,Вилорович,АИ-101,190
Кондратьев,Аполлинарий,Вилорович,АИ-102,510
Кондратьев,Аполлинарий,Вилорович,АИ-80,753
Кондратьев,Аполлинарий,Вилорович,АИ-92,493
Кондратьев,Аполлинарий,Вилорович,АИ-95,358
Кондратьев,Аполлинарий,Вилорович,АИ-98,174
Кондратьев,Аполлинарий,Вилорович,"Биодизельное топливо",128
Кондратьев,Аполлинарий,Вилорович,"Дизельное топливо",234
Кондратьев,Аполлинарий,Вилорович,Керосин,472
Гурьев,Прокл,Бенедиктович,АИ-100,262
Гурьев,Прокл,Бенедиктович,АИ-101,253
Гурьев,Прокл,Бенедиктович,АИ-102,445
Гурьев,Прокл,Бенедиктович,АИ-80,253
Гурьев,Прокл,Бенедиктович,АИ-92,435
Гурьев,Прокл,Бенедиктович,АИ-95,318
Гурьев,Прокл,Бенедиктович,АИ-98,223
Гурьев,Прокл,Бенедиктович,"Биодизельное топливо",250
Гурьев,Прокл,Бенедиктович,"Дизельное топливо",466
Гурьев,Прокл,Бенедиктович,Керосин,334
Шарапов,Ярослав,Измаилович,АИ-100,425
Шарапов,Ярослав,Измаилович,АИ-101,544
Шарапов,Ярослав,Измаилович,АИ-102,616
Шарапов,Ярослав,Измаилович,АИ-80,433
Шарапов,Ярослав,Измаилович,АИ-92,367
Шарапов,Ярослав,Измаилович,АИ-95,574
Шарапов,Ярослав,Измаилович,АИ-98,258
Шарапов,Ярослав,Измаилович,"Биодизельное топливо",365
Шарапов,Ярослав,Измаилович,"Дизельное топливо",300
Шарапов,Ярослав,Измаилович,Керосин,178
Дмитриев,Корнил,Димитриевич,АИ-100,180
Дмитриев,Корнил,Димитриевич,АИ-101,415
Дмитриев,Корнил,Димитриевич,АИ-102,260
Дмитриев,Корнил,Димитриевич,АИ-80,308
Дмитриев,Корнил,Димитриевич,АИ-92,260
Дмитриев,Корнил,Димитриевич,АИ-95,281
Дмитриев,Корнил,Димитриевич,АИ-98,302
Дмитриев,Корнил,Димитриевич,"Биодизельное топливо",430
Дмитриев,Корнил,Димитриевич,"Дизельное топливо",253
Дмитриев,Корнил,Димитриевич,Керосин,242
Евдокимов,Гостомысл,Еремеевич,АИ-100,713
Евдокимов,Гостомысл,Еремеевич,АИ-101,543
Евдокимов,Гостомысл,Еремеевич,АИ-102,760
Евдокимов,Гостомысл,Еремеевич,АИ-80,570
Евдокимов,Гостомысл,Еремеевич,АИ-92,245
Евдокимов,Гостомысл,Еремеевич,АИ-95,454
Евдокимов,Гостомысл,Еремеевич,АИ-98,574
Евдокимов,Гостомысл,Еремеевич,"Биодизельное топливо",500
Евдокимов,Гостомысл,Еремеевич,"Дизельное топливо",513
Евдокимов,Гостомысл,Еремеевич,Керосин,404
Кузнецов,Амос,Захарьевич,АИ-100,669
Кузнецов,Амос,Захарьевич,АИ-101,455
Кузнецов,Амос,Захарьевич,АИ-102,673
Кузнецов,Амос,Захарьевич,АИ-80,679
Кузнецов,Амос,Захарьевич,АИ-92,598
Кузнецов,Амос,Захарьевич,АИ-95,422
Кузнецов,Амос,Захарьевич,АИ-98,734
Кузнецов,Амос,Захарьевич,"Биодизельное топливо",533
Кузнецов,Амос,Захарьевич,"Дизельное топливо",577
Кузнецов,Амос,Захарьевич,Керосин,425
Рыбаков,Милий,Марсович,АИ-100,410
Рыбаков,Милий,Марсович,АИ-101,661
Рыбаков,Милий,Марсович,АИ-102,596
